s,rho,cyc0,cyc1,cyc2,cyc3,reach,curv_radius,half_nonlocal_sep,L,spacing,core_over_reach,spacing_over_core
8.850000000000000089e-01,2.502288099894037915e-02,2.236272356092421087e-01,-1.370743720500199048e-02,1.117608304374511363e-01,-1.574359895714703625e-02,1.189725791122521747e-01,1.189725791122521747e-01,1.399110656260207919e-01,1.112924272381719426e+01,4.347360438991091508e-02,4.202649078727994092e-01,8.694720877982182738e-01
9.000000000000000222e-01,2.612137894701325319e-02,2.240693717936086682e-01,-1.450998542998881320e-02,1.113959888045240737e-01,-1.609264696242281717e-02,1.176206011593713546e-01,1.176206011593713546e-01,1.389119670509778026e-01,1.113425192341416547e+01,4.349317157583658389e-02,4.250955998112264655e-01,8.698634315167316222e-01
9.150000000000000355e-01,2.723944265482745181e-02,2.245205679502401130e-01,-1.529041208561028597e-02,1.110063764315949858e-01,-1.642784468161917477e-02,1.163371265279590228e-01,1.163371265279590228e-01,1.379212494032987235e-01,1.113901746462678233e+01,4.351178697119836847e-02,4.297854132402317839e-01,8.702357394239673694e-01
9.300000000000000488e-01,2.837737885176681157e-02,2.249848475733371433e-01,-1.604695404457806562e-02,1.105919134268487231e-01,-1.674989087024925799e-02,1.151182589273865714e-01,1.151182589273865714e-01,1.369366881679386916e-01,1.114353429777884585e+01,4.352943085069861662e-02,4.343359643020541783e-01,8.705886170139722768e-01
9.450000000000000622e-01,2.953550777796534743e-02,2.254662223812837207e-01,-1.677784428410967685e-02,1.101525007339777540e-01,-1.705944852117188132e-02,1.139603623776381525e-01,1.139603623776381525e-01,1.359559177484102876e-01,1.114779791433863032e+01,4.354608560288527469e-02,4.387490435868536820e-01,8.709217120577054105e-01
9.599999999999999645e-01,3.071416545222401678e-02,2.259686678131958004e-01,-1.748135600769412656e-02,1.096880501513493034e-01,-1.735713993045310405e-02,1.128600402009049680e-01,1.128600402009049680e-01,1.349764518481285092e-01,1.115180438508758165e+01,4.356173587924836582e-02,4.430266010094782714e-01,8.712347175849672887e-01
9.749999999999999778e-01,3.191370617770108997e-02,2.264960981603273416e-01,-1.815584511607295365e-02,1.091985270327885255e-01,-1.764354306221810331e-02,1.118140993916535431e-01,1.118140993916535431e-01,1.339957003839337968e-01,1.115555039596174858e+01,4.357636873422558038e-02,4.471707975294240689e-01,8.715273746845115799e-01
9.899999999999999911e-01,3.313450527051872013e-02,2.270523429176951324e-01,-1.879978570933630785e-02,1.086839857259653680e-01,-1.791918877489315221e-02,1.108195177780115226e-01,1.108195177780115226e-01,1.330109829260734122e-01,1.115903328116085191e+01,4.358997375453457779e-02,4.511840603760581825e-01,8.717994750906915558e-01
1.005000000000000115e+00,3.437696202062301420e-02,2.276411287876828338e-01,-1.941179922823425830e-02,1.081445785052681380e-01,-1.818455862748370039e-02,1.098734320835528938e-01,1.098734320835528938e-01,1.320195411654815354e-01,1.116225105342572199e+01,4.360254317744422653e-02,4.550690649398997922e-01,8.720508635488845028e-01
1.020000000000000018e+00,3.564150290610627186e-02,2.282660718994677096e-01,-1.999068115680448926e-02,1.075805292068737345e-01,-1.844008312673933378e-02,1.089731525407488105e-01,1.089731525407488105e-01,1.310185538937675975e-01,1.116520243163529713e+01,4.361407199857537942e-02,4.588286090126949546e-01,8.722814399715075329e-01
1.034999999999999920e+00,3.692858509346039902e-02,2.289306821861269159e-01,-2.053542832827549847e-02,1.069920786168214177e-01,-1.868614035459774392e-02,1.081161922790174618e-01,1.081161922790174618e-01,1.300051569995093748e-01,1.116788686606092718e+01,4.362455807055049678e-02,4.624654174923593097e-01,8.724911614110099078e-01
1.050000000000000044e+00,3.823870025953696183e-02,2.296383781318303285e-01,-2.104526654445715642e-02,1.063794224384830983e-01,-1.892305491829154515e-02,1.073002889633261625e-01,1.073002889633261625e-01,1.287884007381967233e-01,1.117030456172036423e+01,4.363400219422017279e-02,4.659819696952479662e-01,8.726800438844034558e-01
1.064999999999999947e+00,3.957237876171486313e-02,2.303925075062133176e-01,-2.151967552272844586e-02,1.057426673844845261e-01,-1.915109711593766806e-02,1.065233995354426394e-01,1.065233995354426394e-01,1.275261157640746601e-01,1.117245650026123371e+01,4.364240820414544419e-02,4.693804386459138334e-01,8.728481640829088839e-01
1.080000000000000071e+00,4.093019418103258089e-02,2.311963696842443960e-01,-2.195840798675119734e-02,1.050818236028168429e-01,-1.937048215272805379e-02,1.057836647843940908e-01,1.057836647843940908e-01,1.262498644429172201e-01,1.117434446068324760e+01,4.364978304954393595e-02,4.726627698322693472e-01,8.729956609908786636e-01
1.094999999999999973e+00,4.231276827679275598e-02,2.320532375151152793e-01,-2.236150153295990081e-02,1.043968350003373902e-01,-1.958136921853381382e-02,1.050793591171719082e-01,1.050793591171719082e-01,1.249580930716263361e-01,1.117597103903721312e+01,4.365613687123911374e-02,4.758308427085665149e-01,8.731227374247821915e-01
1.110000000000000098e+00,4.372077639560498913e-02,2.329663798288540977e-01,-2.272928377575260048e-02,1.036876305902592332e-01,-1.978386025917479654e-02,1.044088505882001666e-01,1.044088505882001666e-01,1.236494175770638387e-01,1.117733966706464166e+01,4.366148307447125648e-02,4.788866050944802222e-01,8.732296614894250464e-01
1.125000000000000000e+00,4.515495335877470207e-02,2.339390875681304771e-01,-2.306237157971605459e-02,1.029541686915986243e-01,-1.997799831726993630e-02,1.037705906442040471e-01,1.037705906442040471e-01,1.223226523702836827e-01,1.117845462958926284e+01,4.366583839683305795e-02,4.818320845010308218e-01,8.733167679366611313e-01
