m,q,available_strain_impulse_I,stage_energy_ratio,time_ratio,Jreq_area_gate,energy_sum_ok,time_sum_ok,area_gate_ok,all_three_ok
2.000000000000000000e+00,5.056572968069639878e-02,3.000000000000000000e+00,2.022629187227855951e-01,1.278446509070630408e-03,3.331054801463368076e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.056572968069639878e-02,4.000000000000000000e+00,2.022629187227855951e-01,1.278446509070630408e-03,3.331054801463368076e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.157447849767975850e-02,1.000000000000000000e+00,2.062979139907190340e-01,1.329963416153815813e-03,3.311301921889028055e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.157447849767975850e-02,2.000000000000000000e+00,2.062979139907190340e-01,1.329963416153815813e-03,3.311301921889028055e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.157447849767975850e-02,3.000000000000000000e+00,2.062979139907190340e-01,1.329963416153815813e-03,3.311301921889028055e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.157447849767975850e-02,4.000000000000000000e+00,2.062979139907190340e-01,1.329963416153815813e-03,3.311301921889028055e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.260335110566130568e-02,1.000000000000000000e+00,2.104134044226452227e-01,1.383556273772739266e-03,3.291549042314688034e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.260335110566130568e-02,2.000000000000000000e+00,2.104134044226452227e-01,1.383556273772739266e-03,3.291549042314688034e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.260335110566130568e-02,3.000000000000000000e+00,2.104134044226452227e-01,1.383556273772739266e-03,3.291549042314688034e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.260335110566130568e-02,4.000000000000000000e+00,2.104134044226452227e-01,1.383556273772739266e-03,3.291549042314688034e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.365274895935139010e-02,1.000000000000000000e+00,2.146109958374055604e-01,1.439308735447590885e-03,3.271796162740348013e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.365274895935139010e-02,2.000000000000000000e+00,2.146109958374055604e-01,1.439308735447590885e-03,3.271796162740348013e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.365274895935139010e-02,3.000000000000000000e+00,2.146109958374055604e-01,1.439308735447590885e-03,3.271796162740348013e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
