s,rho,reach,curv_radius,half_nonlocal_sep
1.604999999999999982e+00,6.112298063140394477e-01,3.537843154798576972e-02,1.225477907425298052e-01,3.537843154798576972e-02
1.620000000000000107e+00,5.058654017050339124e-01,3.834019589623816060e-02,1.280003369368042376e-01,3.834019589623816060e-02
1.635000000000000009e+00,5.450958043826269472e-01,3.537368221097503956e-02,1.234575349592619276e-01,3.537368221097503956e-02
1.650000000000000133e+00,5.295690977965986646e-01,3.696372493862606218e-02,1.199020763091644404e-01,3.696372493862606218e-02
1.665000000000000036e+00,5.421543061574709554e-01,2.593016981930467216e-02,1.155561599323793043e-01,2.593016981930467216e-02
1.679999999999999938e+00,6.000564807145509771e-01,1.910570799105665643e-02,1.320535195825786046e-01,1.910570799105665643e-02
1.695000000000000062e+00,4.986225607668875459e-01,2.259522569715088913e-02,2.082018939650545630e-01,2.259522569715088913e-02
1.709999999999999964e+00,6.240722551314419331e-01,2.065641398477983601e-02,8.485726821213518400e-02,2.065641398477983601e-02
1.725000000000000089e+00,6.889884031287342170e-01,2.155296044703580022e-02,2.159725114878703889e-01,2.155296044703580022e-02
1.739999999999999991e+00,7.735578920591247298e-01,2.207675066073792533e-02,2.016884683731402506e-01,2.207675066073792533e-02
1.755000000000000115e+00,7.594986705581795450e-01,8.209825298544672079e-03,2.225194776924878659e-01,8.209825298544672079e-03
1.770000000000000018e+00,5.926845301186205450e-01,1.648233090574114518e-02,1.798974450971979611e-01,1.648233090574114518e-02
1.785000000000000142e+00,5.736789149462138138e-01,2.420364063580774869e-02,1.520349162964121092e-01,2.420364063580774869e-02
1.800000000000000044e+00,6.243857700309406455e-01,2.274325185211282727e-02,1.114622005603460586e-01,2.274325185211282727e-02
1.814999999999999947e+00,6.384193911874850302e-01,3.420372076128531252e-02,9.745130310280820940e-02,3.420372076128531252e-02
1.830000000000000071e+00,6.163596177880437121e-01,3.623752080966878564e-02,8.714097259719118249e-02,3.623752080966878564e-02
1.844999999999999973e+00,7.139249174697009925e-01,4.387271429319364313e-02,9.438973004387143928e-02,4.387271429319364313e-02
1.860000000000000098e+00,9.133751858788866640e-01,3.342449118864990881e-02,9.482416404775310947e-02,3.342449118864990881e-02
1.875000000000000000e+00,7.566413553317612450e-01,2.002848097247597256e-02,1.016201773966770999e-01,2.002848097247597256e-02
1.890000000000000124e+00,8.505371283611566913e-01,2.525415995713398490e-02,9.253051977461596023e-02,2.525415995713398490e-02
1.905000000000000027e+00,7.145198812945242617e-01,1.716496854318198817e-02,1.322885256239405838e-01,1.716496854318198817e-02
1.919999999999999929e+00,7.111318219478329761e-01,4.703809338502808191e-02,1.302474215478901798e-01,4.703809338502808191e-02
1.935000000000000053e+00,9.137404517223167710e-01,3.279196345719729427e-02,1.139029331187960958e-01,3.279196345719729427e-02
1.949999999999999956e+00,5.696664810112798127e-01,1.109160604195801036e-02,1.183642972691277828e-01,1.109160604195801036e-02
1.965000000000000080e+00,5.542790368504953991e-01,3.371609089562916522e-02,1.290349504762698385e-01,3.371609089562916522e-02
1.979999999999999982e+00,4.017700351591769747e-01,3.481822654823435448e-02,1.703380637325513647e-01,3.481822654823435448e-02
1.995000000000000107e+00,6.897303098473432925e-01,3.143858712307587983e-02,9.596661042830090249e-02,3.143858712307587983e-02
