s,logR_cumulative
4.169999999999999929e+00,1.470966608675916998e+00
4.185000000000000497e+00,1.477998793779329745e+00
4.200000000000000178e+00,1.485034644476442400e+00
4.214999999999999858e+00,1.492322292426115693e+00
4.230000000000000426e+00,1.501326028360558729e+00
4.245000000000000107e+00,1.511078214596090596e+00
4.259999999999999787e+00,1.521189193137481688e+00
4.275000000000000355e+00,1.533901424078782938e+00
4.290000000000000036e+00,1.547896861937300361e+00
4.304999999999999716e+00,1.557046861603391230e+00
4.320000000000000284e+00,1.563361482998500973e+00
4.334999999999999964e+00,1.572302806419198840e+00
4.350000000000000533e+00,1.580067520876170306e+00
4.365000000000000213e+00,1.585048330706533504e+00
4.379999999999999893e+00,1.588519478006772845e+00
4.395000000000000462e+00,1.600030223916184990e+00
4.410000000000000142e+00,1.617873822226568281e+00
4.424999999999999822e+00,1.627425324794668171e+00
4.440000000000000391e+00,1.630823164434096251e+00
4.455000000000000071e+00,1.633608681754104897e+00
4.469999999999999751e+00,1.636802928579279115e+00
4.485000000000000320e+00,1.640347223030582002e+00
4.500000000000000000e+00,1.644306109459480192e+00
4.514999999999999680e+00,1.648767181203948162e+00
4.530000000000000249e+00,1.653957554392943008e+00
4.544999999999999929e+00,1.660361637694752979e+00
4.560000000000000497e+00,1.668145567361603243e+00
4.575000000000000178e+00,1.675986144491405039e+00
4.589999999999999858e+00,1.682980793515162832e+00
4.605000000000000426e+00,1.688255041922748667e+00
4.620000000000000107e+00,1.692969723153045170e+00
4.634999999999999787e+00,1.701506703478372851e+00
4.650000000000000355e+00,1.711611632959253448e+00
4.665000000000000036e+00,1.718734333938380932e+00
4.679999999999999716e+00,1.726205869774012136e+00
4.695000000000000284e+00,1.735554735023785655e+00
4.709999999999999964e+00,1.742872179327070947e+00
4.725000000000000533e+00,1.747837762461184719e+00
4.740000000000000213e+00,1.754748718164217847e+00
4.754999999999999893e+00,1.763589994787937210e+00
4.770000000000000462e+00,1.772153815469398985e+00
4.785000000000000142e+00,1.782856185414731343e+00
4.799999999999999822e+00,1.793888988714396282e+00
4.815000000000000391e+00,1.801637486761674678e+00
4.830000000000000071e+00,1.807233119043211378e+00
4.844999999999999751e+00,1.811941788015196231e+00
4.860000000000000320e+00,1.816266373877797102e+00
4.875000000000000000e+00,1.820630467167766664e+00
4.889999999999999680e+00,1.825418683950180476e+00
4.905000000000000249e+00,1.831487911510908173e+00
4.919999999999999929e+00,1.839186309099954064e+00
4.935000000000000497e+00,1.849281692121222731e+00
4.950000000000000178e+00,1.861975935931738491e+00
4.964999999999999858e+00,1.873719472670023700e+00
4.980000000000000426e+00,1.881368956258769654e+00
4.995000000000000107e+00,1.888144343606990239e+00
