t,alpha_3to0,alpha_0to1,alpha_1to2,alpha_2to3,rg2dot,length,L_over_Rg,u_rms
4.100000000000000311e-01,3.452942420716427485e-02,5.155982265628654415e-02,7.584787494647594885e-02,5.879785169890006102e-02,-9.600163571279825281e-02,1.055387467699558179e+01,1.082632254403643479e+01,3.794993306393312782e-01
4.199999999999999845e-01,3.433476571023789253e-02,5.180705105959002021e-02,7.599296826663383408e-02,5.831926660048986771e-02,-9.477214685872270561e-02,1.056365882033375492e+01,1.084180186878135821e+01,3.796158313428369957e-01
4.299999999999999933e-01,3.414308499152435977e-02,5.205202968219608400e-02,7.613495839995994274e-02,5.783102711039703192e-02,-9.354401570791834319e-02,1.057364365994398803e+01,1.085743523762909746e+01,3.797319758702321080e-01
4.400000000000000022e-01,3.395440683663213804e-02,5.229469776072238202e-02,7.627386640845236487e-02,5.733445531002965417e-02,-9.231732363921563156e-02,1.058382803383129733e+01,1.087322137351550921e+01,3.798476828122412940e-01
4.500000000000000111e-01,3.376875306867557769e-02,5.253499469667602395e-02,7.640971197484806854e-02,5.683089205205526379e-02,-9.109214660059619662e-02,1.059421080435408413e+01,1.088915902180677975e+01,3.799628702771984390e-01
4.600000000000000200e-01,3.358614260456395384e-02,5.277286005377349043e-02,7.654251334204789647e-02,5.632169394927929312e-02,-8.986855503259497113e-02,1.060479085855092585e+01,1.090524695050813087e+01,3.800774560798495516e-01
4.700000000000000289e-01,3.340659150763288648e-02,5.300823355163192252e-02,7.667228725689950730e-02,5.580823026828264644e-02,-8.864661379332983149e-02,1.061556710842436679e+01,1.092148395041955666e+01,3.801913579290221445e-01
4.799999999999999822e-01,3.323011303654502951e-02,5.324105505602314686e-02,7.679904891869566985e-02,5.529187973725773614e-02,-8.742638208503331065e-02,1.062653849118471605e+01,1.093786883524141196e+01,3.803044936131751985e-01
4.899999999999999911e-01,3.305671769046758524e-02,5.347126456589342686e-02,7.692281193272690332e-02,5.477402727827630075e-02,-8.620791338201969078e-02,1.063770396945676389e+01,1.095440044163262350e+01,3.804167811828366164e-01
5.000000000000000000e-01,3.288641325061190251e-02,5.369880219736274107e-02,7.704358826921176018e-02,5.425606067494254114e-02,-8.499125536007570703e-02,1.064906253145213455e+01,1.097107762922409258e+01,3.805281391289427328e-01
5.100000000000000089e-01,3.271920481828832772e-02,5.392360816492276082e-02,7.716138822790449825e-02,5.373936718704766524e-02,-8.377644982731309586e-02,1.066061319110964156e+01,1.098789928058951837e+01,3.806384865561020514e-01
5.200000000000000178e-01,3.255509484969301010e-02,5.414562276005567554e-02,7.727622040866215236e-02,5.322533012443422806e-02,-8.256353265656950213e-02,1.067235498820584461e+01,1.100486430117574166e+01,3.807477433498291375e-01
5.300000000000000266e-01,3.239408318769917972e-02,5.436478632749553591e-02,7.738809168822638473e-02,5.271532539282103996e-02,-8.135253371948394929e-02,1.068428698843774960e+01,1.102197161919443680e+01,3.808558303368200226e-01
5.400000000000000355e-01,3.223616709097255201e-02,5.458103923935146706e-02,7.749700720345169269e-02,5.221071802482486757e-02,-8.014347682241278192e-02,1.069640828347940165e+01,1.103922018547682704e+01,3.809626694373798306e-01
5.500000000000000444e-01,3.208134126077458181e-02,5.479432186730835014e-02,7.760297034118573967e-02,5.171285870985379424e-02,-7.893637964438426913e-02,1.070871799101385591e+01,1.105660897329286207e+01,3.810681838091569684e-01
5.600000000000000533e-01,3.192959786585081866e-02,5.500457455311460325e-02,7.770598273497834885e-02,5.122308033693675350e-02,-7.773125367732011681e-02,1.072121525474190129e+01,1.107413697813616693e+01,3.811722979813937373e-01
5.700000000000000622e-01,3.178092656583123704e-02,5.521173757756263345e-02,7.780604426876772117e-02,5.074269456489473307e-02,-7.652810416877714461e-02,1.073389924436867737e+01,1.109180321747591336e+01,3.812749379789637239e-01
5.799999999999999600e-01,3.163531453359148121e-02,5.541575112816164023e-02,7.790315308766164459e-02,5.027298843455142718e-02,-7.532693006748533704e-02,1.074676915556925927e+01,1.110960673047668301e+01,3.813760314355383318e-01
5.899999999999999689e-01,3.149274647704181779e-02,5.561655526569849600e-02,7.799730561589916789e-02,4.981522103791075767e-02,-7.412772397197767149e-02,1.075982420993408972e+01,1.112754657768725686e+01,3.814755076952966450e-01
5.999999999999999778e-01,3.135320466082084506e-02,5.581408988988086073e-02,7.808849658204686239e-02,4.937062025939921439e-02,-7.293047208262386227e-02,1.077306365489521767e+01,1.114562184069932549e+01,3.815732979026812965e-01
6.099999999999999867e-01,3.121666892837841878e-02,5.600829470425524453e-02,7.817671905145032185e-02,4.894037960435580065e-02,-7.173515415739546708e-02,1.078648676363403425e+01,1.116383162177693755e+01,3.816693350797850659e-01
6.199999999999999956e-01,3.108311672493307282e-02,5.619910918059572991e-02,7.826196446592502409e-02,4.852565512994905239e-02,-7.054174347170275028e-02,1.080009283497150641e+01,1.118217504345781244e+01,3.817635541910502917e-01
6.300000000000000044e-01,3.095252312178704487e-02,5.638647252296272172e-02,7.834422269063945343e-02,4.812756249358229876e-02,-6.935020678265738092e-02,1.081388119324162211e+01,1.120065124812736812e+01,3.818558921950538920e-01
6.400000000000000133e-01,3.082486084247498467e-02,5.657032363163913558e-02,7.842348206810383082e-02,4.774717413359715057e-02,-6.816050429812522959e-02,1.082785118814909886e+01,1.121925939756677693e+01,3.819462880832520391e-01
6.500000000000000222e-01,3.070010029121215608e-02,5.675060106716062897e-02,7.849972947914453381e-02,4.738551659668152616e-02,-6.697258965094719796e-02,1.084200219461233239e+01,1.123799867247620732e+01,3.820346829056548987e-01
6.600000000000000311e-01,3.057820958409391415e-02,5.692724301466831061e-02,7.857295041070674890e-02,4.704356802580668406e-02,-6.578640987871700596e-02,1.085633361259286289e+01,1.125686827197485940e+01,3.821210197835014366e-01
6.700000000000000400e-01,3.045915458348147364e-02,5.710018724882674757e-02,7.864312903029192781e-02,4.672225582173346325e-02,-6.460190540951832316e-02,1.087084486691261453e+01,1.127586741307937501e+01,3.822052439091009335e-01
6.800000000000000488e-01,3.034289893598958801e-02,5.726937109956398153e-02,7.871024826679959285e-02,4.642245449013113201e-02,-6.341901005403678682e-02,1.088553540706057277e+01,1.129499533016267243e+01,3.822873025331020580e-01
6.900000000000000577e-01,3.022940411446843958e-02,5.743473141890799438e-02,7.877428989750825949e-02,4.614498368511258525e-02,-6.223765100447732623e-02,1.090040470699056030e+01,1.131425127439527500e+01,3.823671449395444899e-01
7.000000000000000666e-01,3.011862946434881033e-02,5.759620454920736515e-02,7.883523464089361998e-02,4.589060645850683018e-02,-6.105774884073379705e-02,1.091545226491218479e+01,1.133363451317172199e+01,3.824447224091320208e-01
7.099999999999999645e-01,3.001053225469155553e-02,5.775372629304176275e-02,7.889306225494800706e-02,4.566002772245944530e-02,-5.987921754427420751e-02,1.093067760307706493e+01,1.135314432952471364e+01,3.825199881712509353e-01
7.199999999999999734e-01,2.990506773425416140e-02,5.790723188514031172e-02,7.894775164063159989e-02,4.545389293096704919e-02,-5.870196452022317934e-02,1.094608026756280594e+01,1.137278002153001211e+01,3.825928973453342485e-01
7.299999999999999822e-01,2.980218919285711893e-02,5.805665596663997507e-02,7.899928095005387396e-02,4.527278698374861965e-02,-5.752589062814401910e-02,1.096165982805730899e+01,1.139254090170539513e+01,3.826634068722420401e-01
7.399999999999999911e-01,2.970184802829954965e-02,5.820193256202679105e-02,7.904762769895337660e-02,4.511723335343847258e-02,-5.635089022204158027e-02,1.097741587764617499e+01,1.141242629640709083e+01,3.827314754363939642e-01
7.500000000000000000e-01,2.960399381904142008e-02,5.834299505911289679e-02,7.909276888301521036e-02,4.498769343451049924e-02,-5.517685120012918304e-02,1.099334803260611260e+01,1.143243554522741690e+01,3.827970633794477440e-01
7.600000000000000089e-01,2.950857440283429639e-02,5.847977619241149366e-02,7.913468109754072388e-02,4.488456610964650789e-02,-5.400365506492306455e-02,1.100945593220736107e+01,1.145256800039740597e+01,3.828601326063688082e-01
7.700000000000000178e-01,2.941553596144679678e-02,5.861220803028040910e-02,7.917334065996019243e-02,4.480818752651902909e-02,-5.283117699425001618e-02,1.102573923852813387e+01,1.147282302619838390e+01,3.829206464847816904e-01
7.800000000000000266e-01,2.932482311159516353e-02,5.874022196621560277e-02,7.920872373466053551e-02,4.475883107523313809e-02,-5.165928592377316830e-02,1.104219763628409900e+01,1.149319999838639816e+01,3.829785697385335030e-01
7.900000000000000355e-01,2.923637900215147675e-02,5.886374871468857961e-02,7.924080645958229974e-02,4.473670755404882127e-02,-5.048784464166020808e-02,1.105883083267585221e+01,1.151369830363351099e+01,3.830338683364322705e-01
