m,q,time_ratio_q2_over_m,stage_energy_ratio_m2q,L3_or_Gamma_ratio_m,relative_core_ratio_m_minus_half,finite_budget_window
5.000000000000000000e+00,2.045577883855363363e-02,8.368777757836373123e-05,5.113944709638408304e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.080595516690897373e-02,8.657755408148525066e-05,5.201488791727243433e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.116212605855657611e-02,8.956711586364785027e-05,5.290531514639144062e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.152439413262331389e-02,9.265990855530178863e-05,5.381098533155828090e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.189286376494205266e-02,9.585949676606254877e-05,5.473215941235513027e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.226764111812410546e-02,9.916956819311427505e-05,5.566910279531026573e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.264883417214670278e-02,1.025939378714800477e-04,5.662208543036675312e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.303655275546375933e-02,1.061365525710529891e-04,5.759138188865939867e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.343090857664952009e-02,1.098014953454616035e-04,5.857727144162380162e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.383201525658373496e-02,1.135929902380079852e-04,5.958003814145933497e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.423998836118777811e-02,1.175154071501037815e-04,6.059997090296944666e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.465494543472138492e-02,1.215732668778177742e-04,6.163736358680346195e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.507700603364904773e-02,1.257712463223341381e-04,6.269251508412262419e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.550629176108647547e-02,1.301141838803335617e-04,6.376572940271618695e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.594292630183656773e-02,1.346070850205047091e-04,6.485731575459141585e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.638703545802512096e-02,1.392551280526150008e-04,6.596758864506280240e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.683874718534680695e-02,1.440636700957922153e-04,6.709686796336701287e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.729819162993125936e-02,1.490382532528898151e-04,6.824547907482815257e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.776550116584064129e-02,1.541846109980596010e-04,6.941375291460160080e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.824081043320889745e-02,1.595086747848881137e-04,7.060202608302224014e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.872425637703387991e-02,1.650165808827143052e-04,7.181064094258470254e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.921597828663379665e-02,1.707146774490114988e-04,7.303994571658448676e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.971611783577872076e-02,1.766095318459772411e-04,7.429029458944680364e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.022481912350945266e-02,1.827079382097725646e-04,7.556204780877363580e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.074222871565496229e-02,1.890169252811281053e-04,7.685557178913740017e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.126849568706053378e-02,1.955437645063446317e-04,7.817123921765133376e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.180377166453896010e-02,2.022959784180262456e-04,7.950942916134740024e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.234821087055684413e-02,2.092813493052024022e-04,8.087052717639211519e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.290197016766881893e-02,2.165079281828337940e-04,8.225492541917204248e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.346520910371247187e-02,2.239840440710400460e-04,8.366302275928118037e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.403808995777678897e-02,2.317183135947410016e-04,8.509522489444196758e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.462077778695774738e-02,2.397196509147814117e-04,8.655194446739437053e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.521344047391414961e-02,2.479972780019790396e-04,8.803360118478537055e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.581624877523745948e-02,2.565607352659397366e-04,8.954062193809364523e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.642937637065004480e-02,2.654198925508951461e-04,9.107344092662511548e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.705299991304510099e-02,2.745849605112240773e-04,9.263249978261275386e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.768729907938365292e-02,2.840665023797823876e-04,9.421824769845913439e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.833245662246263091e-02,2.938754461425958225e-04,9.583114155615657381e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.898865842356905032e-02,3.040230971339483992e-04,9.747164605892262301e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.965609354603595593e-02,3.145211510663909566e-04,9.914023386508988844e-01,5.000000000000000000e+00,4.472135954999579277e-01,1.000000000000000000e+00
5.000000000000000000e+00,4.033495428971459185e-02,3.253817075106731158e-04,1.008373857242864879e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,4.102543624637965819e-02,3.366172838411523433e-04,1.025635906159491517e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,4.172773835608261511e-02,3.482408296627376404e-04,1.043193458902065274e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,4.244206296446978444e-02,3.602657417360035307e-04,1.061051574111744555e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,4.316861588108193010e-02,3.727058794176798216e-04,1.079215397027048162e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,4.390760643865131846e-02,3.855755806342989764e-04,1.097690160966283024e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,4.465924755341441066e-02,3.988896784074302576e-04,1.116481188835360294e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,4.542375578645671541e-02,4.126635179495319675e-04,1.135593894661417913e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,4.620135140610777402e-02,4.269129743501313338e-04,1.155033785152694392e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,4.699225845140458935e-02,4.416544708727212229e-04,1.174806461285114789e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,4.779670479664094307e-02,4.569049978834478038e-04,1.194917619916023632e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,4.861492221702221755e-02,4.726821324334240754e-04,1.215373055425555515e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,4.944714645544388137e-02,4.890040585172233164e-04,1.236178661386097000e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,5.029361729041307433e-02,5.058895880309074219e-04,1.257340432260326768e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,5.115457860513318578e-02,5.233581824537500513e-04,1.278864465128329631e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,5.203027845777082744e-02,5.414299752786341747e-04,1.300756961444270665e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,5.292096915292578835e-02,5.601257952169845684e-04,1.323024228823144632e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,5.382690731432449027e-02,5.794671902049758610e-04,1.345672682858112257e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,5.474835395875768396e-02,5.994764522386836127e-04,1.368708848968942071e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,5.568557457128418126e-02,6.201766430668102575e-04,1.392139364282104497e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,5.663883918172166188e-02,6.415916207705857095e-04,1.415970979543041519e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,5.760842244244710614e-02,6.637460672614886939e-04,1.440210561061177730e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,5.859460370752896108e-02,6.866655167284733095e-04,1.464865092688224069e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,5.959766711321392435e-02,7.103763850674920831e-04,1.489941677830348032e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,6.061790165979176470e-02,7.349060003272370580e-04,1.515447541494794104e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,6.165560129486130636e-02,7.602826342061805558e-04,1.541390032371532604e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,6.271106499802193979e-02,7.865355346372265161e-04,1.567776624950548481e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,6.378459686701495879e-02,8.136949594975229983e-04,1.594614921675373997e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,6.487650620533939871e-02,8.417922114822883398e-04,1.621912655133485037e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,6.598710761136797331e-02,8.708596741828514504e-04,1.649677690284199416e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,6.711672106898838863e-02,9.009308494104780254e-04,1.677918026724709799e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,6.826567203979624909e-02,9.320403958090039270e-04,1.706641800994906255e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,6.943429155686645093e-02,9.642241688007872208e-04,1.735857288921661246e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,7.062291632012950016e-02,9.975192619120025993e-04,1.765572908003237407e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,7.183188879338084365e-02,1.031964049524926492e-03,1.795797219834521119e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,7.306155730295067763e-02,1.067598231106468929e-03,1.826538932573766871e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,7.431227613806296040e-02,1.104462876963944237e-03,1.857806903451574065e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,7.558440565291228708e-02,1.142600475580799694e-03,1.889610141322807246e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,7.687831237048843580e-02,1.182054982586878923e-03,1.921957809262210937e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,7.819436908817806176e-02,1.222871871419643416e-03,1.954859227204451599e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,7.953295498517418127e-02,1.265098185734748418e-03,1.988323874629354560e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,8.089445573172449055e-02,1.308782593626386633e-03,2.022361393293112375e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,8.227926360024957753e-02,1.353975443719871059e-03,2.056981590006239369e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,8.368777757836379227e-02,1.400728823201137854e-03,2.092194439459095001e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,8.512040348383045907e-02,1.449096617850019388e-03,2.128010087095761449e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,8.657755408148522236e-02,1.499134574146499714e-03,2.164438852037130712e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,8.805964920216086123e-02,1.550900363521525837e-03,2.201491230054021475e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,8.956711586364786426e-02,1.604453648826424271e-03,2.239177896591196593e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,9.110038839372602837e-02,1.659856153097546277e-03,2.277509709843150709e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,9.265990855530180370e-02,1.717171730695378528e-03,2.316497713882545106e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,9.424612567368800820e-02,1.776466440900118697e-03,2.356153141842200149e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,9.585949676606249359e-02,1.837808624048549184e-03,2.396487419151562381e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,9.750048667314259454e-02,1.901268980299931303e-03,2.437512166828565086e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,9.916956819311432969e-02,1.966920651121750740e-03,2.479239204827858423e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.008672222178536720e-01,2.034839303589174725e-03,2.521680555446341732e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.025939378714800648e-01,2.105103217595422245e-03,2.564848446787001635e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.043502126512815958e-01,2.177793376073538113e-03,2.608755316282040049e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.061365525710530056e-01,2.252993558333579900e-03,2.653413814276325056e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.079534723068870106e-01,2.330790436622764104e-03,2.698836807672175375e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.098014953454616444e-01,2.411273676019887006e-03,2.745037383636541151e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.116811541348660258e-01,2.494536037779140382e-03,2.792028853371650854e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.135929902380079376e-01,2.580673486242433378e-03,2.839824755950198565e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.155375544886478728e-01,2.669785299443455315e-03,2.888438862216196945e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.175154071501038622e-01,2.761974183530936482e-03,2.937885178752596360e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.195271180766732388e-01,2.857346391142997523e-03,2.988177951916830999e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.215732668778177900e-01,2.956011843869021678e-03,3.039331671945444846e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.236544430851592574e-01,3.058084258940178303e-03,3.091361077128981449e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.257712463223341626e-01,3.163681280294650990e-03,3.144281158058354286e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.279242864777557220e-01,3.272924614168583150e-03,3.198107161943893217e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.301141838803335782e-01,3.385940169369051813e-03,3.252854597008339343e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.323415694782015539e-01,3.502858202390729363e-03,3.308539236955038820e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.346070850205046687e-01,3.623813467543474890e-03,3.365177125512616829e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.369113832422988175e-01,3.748945372263924602e-03,3.422784581057470632e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.392551280526151125e-01,3.878398137790046215e-03,3.481378201315378007e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.416389947257437054e-01,4.012320965383850760e-03,3.540974868143592857e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.440636700957922400e-01,4.150868208293852918e-03,3.601591752394806001e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.465298527545750851e-01,4.294199549655491541e-03,3.663246318864377127e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.490382532528898296e-01,4.442480186534505243e-03,3.725956331322245685e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.515895943052395500e-01,4.595881020325423214e-03,3.789739857630988862e+00,5.000000000000000000e+00,4.472135954999579277e-01,0.000000000000000000e+00
