s,rho,cyc0,cyc1,cyc2,cyc3,alpha_max,alpha_p95,sigma_local,sigma_near2,sigma_near4,dist_active_to_alphamax,reach,curv_radius,half_nonlocal_sep,L,spacing,reach_controller,active_i,active_j,alpha_max_i,dlnreach_ds,gamma_hat,A_local,A_near2,A_near4,A_p95,A_max,y_core_over_reach_sq,Re_required_local,gate_Re100,gate_Re1000,gate_Re4000,gate_Re10000
5.625000000000000000e-01,5.051509134165188677e-05,1.949637436735011942e-01,9.237439067717796064e-04,1.097875466725816845e-01,-9.610032729491809964e-03,9.190799963775854176e-01,6.365863592912299751e-01,2.892251536490140773e-01,9.190799963775854176e-01,9.190799963775854176e-01,2.389489082599136061e-01,1.618895226818625743e-01,1.638616045089103523e-01,1.618895226818625743e-01,1.096137235464669679e+01,3.425428860827092747e-02,1.000000000000000000e+00,1.000000000000000000e+00,2.710000000000000000e+02,8.000000000000000000e+00,-1.616773346777620191e-01,1.616268195864203616e-01,-8.918259516470770660e-04,1.561554679412536714e-02,1.561554679412536714e-02,8.211892095699876992e-03,1.561554679412536714e-02,6.104955427409274049e-02,inf,-5.444557683812263800e-03,-5.444557683812264320e-02,-2.177823073524905728e-01,-5.444557683812264459e-01
5.700000000000000622e-01,4.071039871542447624e-04,1.949626941955284742e-01,2.996623764431430607e-04,1.098358405505620861e-01,-1.009233207210673798e-02,9.191787520829997060e-01,6.397116027277617301e-01,2.757533638397163811e-01,9.191787520829997060e-01,9.191787520829997060e-01,2.390142361012946581e-01,1.616980876030160996e-01,1.634006544441362063e-01,1.616980876030160996e-01,1.096450572294206438e+01,3.426408038419394980e-02,1.000000000000000000e+00,1.000000000000000000e+00,2.710000000000000000e+02,8.000000000000000000e+00,-1.538231009240433877e-01,1.534159969368891485e-01,-8.125902997900004117e-04,1.601058461339238681e-02,1.601058461339238681e-02,8.703560641385303318e-03,1.601058461339238681e-02,6.119419351590810185e-02,inf,-4.972580805449906306e-03,-4.972580805449906133e-02,-1.989032322179962453e-01,-4.972580805449906549e-01
5.775000000000000133e-01,7.678365035504675301e-04,1.949566821964134333e-01,-3.296816945483827996e-04,1.098793752475256541e-01,-1.057078286691838682e-02,9.192570245222279057e-01,6.427834581787458257e-01,2.621292470453742696e-01,9.192570245222279057e-01,9.192570245222279057e-01,2.390788284966717525e-01,1.615164180624228674e-01,1.629196947199798018e-01,1.615164180624228674e-01,1.096758972142091615e+01,3.427371787944036297e-02,1.000000000000000000e+00,1.000000000000000000e+00,2.710000000000000000e+02,8.000000000000000000e+00,-1.785066767144058986e-01,1.777388402108554255e-01,-2.435232231523502475e-03,1.470762369075592248e-02,1.470762369075592248e-02,7.495104791702049234e-03,1.470762369075592248e-02,6.133193026469560549e-02,inf,-1.493574934021385178e-02,-1.493574934021385248e-01,-5.974299736085540991e-01,-1.493574934021385081e+00
5.849999999999999645e-01,1.132768587531285485e-03,1.949461845925589965e-01,-9.639821467863393233e-04,1.099177261140820983e-01,-1.104544469288406237e-02,9.193113614750921814e-01,6.458012085875471930e-01,3.260441248759144983e-01,9.193113614750921814e-01,9.193113614750921814e-01,2.050902214322477546e-01,1.612657039129293812e-01,1.620266411762067982e-01,1.612657039129293812e-01,1.097062260978549197e+01,3.428319565557966242e-02,1.000000000000000000e+00,2.000000000000000000e+00,2.710000000000000000e+02,8.000000000000000000e+00,-2.086807743372531831e-01,2.075480057497219033e-01,-2.315939222087232650e-03,1.311294066484725365e-02,1.311294066484725365e-02,5.999864067276606747e-03,1.311294066484725365e-02,6.152277971666050838e-02,inf,-1.424830185976469141e-02,-1.424830185976469210e-01,-5.699320743905876840e-01,-1.424830185976469155e+00
5.925000000000000266e-01,1.501958909125444917e-03,1.949316564549763986e-01,-1.602912070316361631e-03,1.099504788881363881e-01,-1.151637292388690836e-02,9.193386067068328726e-01,6.487641629588073444e-01,3.195193585143528692e-01,9.193386067068328726e-01,9.193386067068328726e-01,2.051474155253358855e-01,1.610116279566777553e-01,1.610827334012269185e-01,1.610116279566777553e-01,1.097360267839709813e+01,3.429250836999093305e-02,1.000000000000000000e+00,2.000000000000000000e+00,2.710000000000000000e+02,8.000000000000000000e+00,-4.698252332262029540e-01,4.683232743170774870e-01,-1.599886462742727486e-02,-4.487039694699618861e-04,-4.487039694699618861e-04,-7.463277247833756053e-03,-4.487039694699618861e-04,6.171709850578718792e-02,inf,-9.874035041916832955e-02,-9.874035041916834343e-01,-3.949614016766733737e+00,-9.874035041916833677e+00
5.999999999999999778e-01,1.875468816729286559e-03,1.949135326386199907e-01,-2.246123675850492801e-03,1.099772323006979885e-01,-1.198361757437155055e-02,9.193359496946699183e-01,6.477437837191311054e-01,-2.048548023564277787e-01,5.366452009123072742e-01,5.366452009123072742e-01,1.552995469701986542e+00,1.601331987421433789e-01,1.601331987421433789e-01,1.607649547507775389e-01,1.097652825066792559e+01,3.430165078333726608e-02,0.000000000000000000e+00,1.420000000000000000e+02,1.420000000000000000e+02,8.000000000000000000e+00,-8.990621895829207233e-01,8.971867207661914367e-01,-5.126549281362086791e-02,-3.225147417664359778e-02,-3.225147417664359778e-02,-2.940261306441360745e-02,-2.243827256171456938e-02,6.239606828420478368e-02,inf,-3.198765190222097599e-01,-3.198765190222097043e+00,-1.279506076088838817e+01,-3.198765190222097488e+01
6.075000000000000400e-01,2.253362280016357830e-03,1.948922296641386331e-01,-2.893248638287917486e-03,1.099975984394998829e-01,-1.244722211250112558e-02,9.193009645354495163e-01,6.410666531224162856e-01,-1.919801262983989176e-01,5.275867294606698676e-01,5.275867294606698676e-01,1.553498325496781574e+00,1.588548119810077319e-01,1.588548119810077319e-01,1.605257689037517810e-01,1.097939768541658978e+01,3.431061776692684306e-02,0.000000000000000000e+00,1.420000000000000000e+02,1.420000000000000000e+02,8.000000000000000000e+00,-1.048143792208037439e+00,1.045890429928021170e+00,-5.763036886641788314e-02,-3.947220626846933977e-02,-3.947220626846933977e-02,-3.660855727051894049e-02,-2.958735579836868287e-02,6.340437602120500837e-02,inf,-3.654017577847105680e-01,-3.654017577847105791e+00,-1.461607031138842316e+01,-3.654017577847105969e+01
6.149999999999999911e-01,2.635705821132172579e-03,1.948681477855938038e-01,-3.543898850003767212e-03,1.100112014319880038e-01,-1.290722226639471823e-02,9.192316424525818208e-01,6.341811722013154240e-01,-1.792183146208139732e-01,5.184038215934819727e-01,5.184038215934819727e-01,1.554014069888761007e+00,1.576352475145807452e-01,1.576352475145807452e-01,1.602941387356854597e-01,1.098220937917542095e+01,3.431940430992318908e-02,0.000000000000000000e+00,1.420000000000000000e+02,1.420000000000000000e+02,8.000000000000000000e+00,-1.006941019609698174e+00,1.004305313788566023e+00,-5.436507972135401490e-02,-3.702995707114817986e-02,-3.702995707114817986e-02,-3.415302059118797279e-02,-2.706983815360165455e-02,6.438924260680786715e-02,inf,-3.500526307516714231e-01,-3.500526307516714120e+00,-1.400210523006685648e+01,-3.500526307516714297e+01
6.225000000000000533e-01,3.022568434960726073e-03,1.948416731760979070e-01,-4.197667378986816300e-03,1.100176752784310097e-01,-1.336364485401266705e-02,9.191264199167944460e-01,6.325764460926265320e-01,-1.665853187468676333e-01,5.120915583651083347e-01,5.120915583651083347e-01,1.554541299150282718e+00,1.564734798153981643e-01,1.564734798153981643e-01,1.600701163857812803e-01,1.098496176843767103e+01,3.432800552636772196e-02,0.000000000000000000e+00,1.420000000000000000e+02,1.420000000000000000e+02,8.000000000000000000e+00,-9.656302464347845671e-01,9.626076779998238298e-01,-5.121554289103204954e-02,-3.459885224334777187e-02,-3.459885224334777187e-02,-3.164890629026231861e-02,-2.463303109144864694e-02,6.534893297363582321e-02,inf,-3.346881079594424269e-01,-3.346881079594424158e+00,-1.338752431837769663e+01,-3.346881079594424335e+01
6.300000000000000044e-01,3.414021499315011803e-03,1.948131801689052534e-01,-4.854129375343258640e-03,1.100166617038463995e-01,-1.381650666882555667e-02,9.189842016847274975e-01,6.336699394908115179e-01,-1.540966520465028577e-01,5.053937261818872706e-01,5.053937261818872706e-01,1.555078664758741791e+00,1.553684434115900626e-01,1.553684434115900626e-01,1.598537379253011370e-01,1.098765333183301429e+01,3.433641666197816827e-02,0.000000000000000000e+00,1.420000000000000000e+02,1.420000000000000000e+02,8.000000000000000000e+00,-9.242950618722431955e-01,9.208810403729281724e-01,-4.817873890442639362e-02,-3.225906772700113528e-02,-3.225906772700113528e-02,-2.916256290573424406e-02,-2.227526115531531029e-02,6.628180905279745794e-02,inf,-3.193373972467774546e-01,-3.193373972467774546e+00,-1.277349588987109819e+01,-3.193373972467774280e+01
6.375000000000000666e-01,3.810138676011009997e-03,1.947830335025453885e-01,-5.512842728706286721e-03,1.100078087254365289e-01,-1.426581345105997975e-02,9.188043759173453173e-01,6.347599675076359693e-01,-1.417660438880684326e-01,4.983269244615282090e-01,4.983269244615282090e-01,1.555624874947326042e+00,1.543190344299472383e-01,1.543190344299472383e-01,1.596450234493538567e-01,1.099028259222001758e+01,3.434463310068755493e-02,0.000000000000000000e+00,1.420000000000000000e+02,1.420000000000000000e+02,8.000000000000000000e+00,-8.830182967970614527e-01,8.792081581210504648e-01,-4.525163512663294557e-02,-3.000822793654876058e-02,-3.000822793654876058e-02,-2.675916173496811420e-02,-1.999482469089831904e-02,6.718634073001489293e-02,inf,-3.040291776208272068e-01,-3.040291776208271735e+00,-1.216116710483308694e+01,-3.040291776208271912e+01
6.450000000000000178e-01,4.210995803861039728e-03,1.947515905312526829e-01,-6.173348420528429296e-03,1.099907703204748288e-01,-1.471155896823600484e-02,9.185868175992041307e-01,6.358434332903257769e-01,-1.296042527438334424e-01,4.909082016513711677e-01,4.909082016513711677e-01,1.556178694831911180e+00,1.533241144738961836e-01,1.533241144738961836e-01,1.594439771391268912e-01,1.099284811868437117e+01,3.435265037088865853e-02,0.000000000000000000e+00,1.420000000000000000e+02,1.420000000000000000e+02,8.000000000000000000e+00,-8.418790807797336129e-01,8.376680849758725289e-01,-4.243105220276696676e-02,-2.784386915016012071e-02,-2.784386915016012071e-02,-2.443669055170627838e-02,-1.778987875185749495e-02,6.806111388688594610e-02,inf,-2.887904676312925134e-01,-2.887904676312925023e+00,-1.155161870525170009e+01,-2.887904676312925289e+01
