s,logR_cumulative
1.125000000000000000e+01,1.205690767863657031e+00
1.130000000000000071e+01,1.217668030262154977e+00
1.134999999999999964e+01,1.229552119041907421e+00
1.140000000000000036e+01,1.242037534814735666e+00
1.145000000000000107e+01,1.255989137128272315e+00
1.150000000000000000e+01,1.268535572953465529e+00
1.155000000000000071e+01,1.279170788640434209e+00
1.159999999999999964e+01,1.290013126728121629e+00
1.165000000000000036e+01,1.302062831075715188e+00
1.170000000000000107e+01,1.315432474945499974e+00
1.175000000000000000e+01,1.329660635431730631e+00
1.180000000000000071e+01,1.344203352188636291e+00
1.184999999999999964e+01,1.358710329935775452e+00
1.190000000000000036e+01,1.373065515351284072e+00
1.195000000000000107e+01,1.386961402794518960e+00
1.200000000000000000e+01,1.400241533975380426e+00
1.205000000000000071e+01,1.412793421275923222e+00
1.209999999999999964e+01,1.423606651473120710e+00
1.215000000000000036e+01,1.433722189380435275e+00
1.220000000000000107e+01,1.444721612248284881e+00
1.225000000000000000e+01,1.456183717267816924e+00
1.230000000000000071e+01,1.468039816571636180e+00
1.234999999999999964e+01,1.481536786516204796e+00
1.240000000000000036e+01,1.497918375387223389e+00
1.245000000000000107e+01,1.512413249239194624e+00
1.250000000000000000e+01,1.525394405667345410e+00
1.255000000000000071e+01,1.539724832982956926e+00
1.259999999999999964e+01,1.553984372380526446e+00
1.265000000000000036e+01,1.568965593235837286e+00
1.270000000000000107e+01,1.584010342273701299e+00
1.275000000000000000e+01,1.598216108855509798e+00
1.280000000000000071e+01,1.612256652801591139e+00
1.284999999999999964e+01,1.626636536061499161e+00
1.290000000000000036e+01,1.641128876407996984e+00
1.295000000000000107e+01,1.656308896297075561e+00
1.300000000000000000e+01,1.672060423038254084e+00
1.305000000000000071e+01,1.688274845837926197e+00
1.309999999999999964e+01,1.704710319235686944e+00
1.315000000000000036e+01,1.720783070251685976e+00
1.320000000000000107e+01,1.736402390868922119e+00
1.325000000000000000e+01,1.751592902560479059e+00
1.330000000000000071e+01,1.766292003986256409e+00
1.334999999999999964e+01,1.780510549274109788e+00
1.340000000000000036e+01,1.793873341310730174e+00
1.345000000000000107e+01,1.807182789066251960e+00
1.350000000000000000e+01,1.820350639158793804e+00
1.355000000000000071e+01,1.833461494161285232e+00
1.359999999999999964e+01,1.848733971711694402e+00
1.365000000000000036e+01,1.866301837085248660e+00
1.370000000000000107e+01,1.885467095648638347e+00
1.375000000000000000e+01,1.904210788073520400e+00
1.380000000000000071e+01,1.919838255506474356e+00
1.384999999999999964e+01,1.935837724530687254e+00
1.390000000000000036e+01,1.954409695698140048e+00
1.395000000000000107e+01,1.972914329001064226e+00
1.400000000000000000e+01,1.990706556415474671e+00
1.405000000000000071e+01,2.007686015257251988e+00
1.409999999999999964e+01,2.023623203835303475e+00
1.415000000000000036e+01,2.038507869023183261e+00
1.420000000000000107e+01,2.052387464920799154e+00
1.425000000000000000e+01,2.065161168703317340e+00
1.430000000000000071e+01,2.076733924982132162e+00
1.434999999999999964e+01,2.088112783988879340e+00
1.440000000000000036e+01,2.099945666005640366e+00
1.445000000000000107e+01,2.111342197731659542e+00
1.450000000000000000e+01,2.122220115060609480e+00
1.455000000000000071e+01,2.133399995713483488e+00
1.459999999999999964e+01,2.144877942532925186e+00
1.465000000000000036e+01,2.156023547988854094e+00
1.470000000000000107e+01,2.167288638508102938e+00
