p,delta,Gamma_delta_eq_delta_minus_p,min_expected_area_stretch_K2,min_uniform_integrated_strain_J
2.500000000000000000e-01,1.000000000000000021e-03,5.623413251903491172e+00,1.789988032177820336e+06,7.198859745930204390e+00
2.500000000000000000e-01,7.498942093324558562e-04,6.042963902381328190e+00,3.420582955251690466e+06,7.522660774632491609e+00
2.500000000000000000e-01,5.623413251903490971e-04,6.493816315762113156e+00,6.536573174471399747e+06,7.846461803334779717e+00
2.500000000000000000e-01,4.216965034285822373e-04,6.978305848598663097e+00,1.249108395386809483e+07,8.170262832037067824e+00
2.500000000000000000e-01,3.162277660168379394e-04,7.498942093324558300e+00,2.386987404224977270e+07,8.494063860739354155e+00
2.500000000000000000e-01,2.371373705661655111e-04,8.058421877614819095e+00,4.561420681320691109e+07,8.817864889441642262e+00
2.500000000000000000e-01,1.778279410038922698e-04,8.659643233600654355e+00,8.716660421061468124e+07,9.141665918143930369e+00
2.500000000000000000e-01,1.333521432163323954e-04,9.305720409296990070e+00,1.665712816343450248e+08,9.465466946846218477e+00
2.500000000000000000e-01,1.000000000000000048e-04,1.000000000000000000e+01,3.183098861837906837e+08,9.789267975548504808e+00
2.500000000000000000e-01,7.498942093324558562e-05,1.074607828321317449e+01,6.082752239654170275e+08,1.011306900425079291e+01
2.500000000000000000e-01,5.623413251903490700e-05,1.154781984689458163e+01,1.162385348837524891e+09,1.043687003295308102e+01
2.500000000000000000e-01,4.216965034285822237e-05,1.240937760751719665e+01,2.221263740423121929e+09,1.076067106165536913e+01
2.500000000000000000e-01,3.162277660168379530e-05,1.333521432163323972e+01,4.244730552955532074e+09,1.108447209035765546e+01
2.500000000000000000e-01,2.371373705661655382e-05,1.433012570236962802e+01,8.111480478118297577e+09,1.140827311905994357e+01
2.500000000000000000e-01,1.778279410038922901e-05,1.539926526059491962e+01,1.550065775107481003e+10,1.173207414776223168e+01
2.500000000000000000e-01,1.333521432163324055e-05,1.654817099943181447e+01,2.962102804341503143e+10,1.205587517646451978e+01
2.500000000000000000e-01,9.999999999999999124e-06,1.778279410038922848e+01,5.660439166124681091e+10,1.237967620516680789e+01
2.500000000000000000e-01,7.498942093324558054e-06,1.910952974970440366e+01,1.081683306414515533e+11,1.270347723386909422e+01
2.500000000000000000e-01,5.623413251903491208e-06,2.053525026457145941e+01,2.067045932368680725e+11,1.302727826257138233e+01
2.500000000000000000e-01,4.216965034285822407e-06,2.206734069084589933e+01,3.950027573860479736e+11,1.335107929127367044e+01
2.500000000000000000e-01,3.162277660168379191e-06,2.371373705661655151e+01,7.548316943483956299e+11,1.367488031997595854e+01
2.500000000000000000e-01,2.371373705661655212e-06,2.548296747979346577e+01,1.442447871917044434e+12,1.399868134867824487e+01
2.500000000000000000e-01,1.778279410038922689e-06,2.738419634264361235e+01,2.756450052079657715e+12,1.432248237738053298e+01
2.500000000000000000e-01,1.333521432163324098e-06,2.942727176209281836e+01,5.267446427379045898e+12,1.464628340608282109e+01
2.500000000000000000e-01,9.999999999999999547e-07,3.162277660168379256e+01,1.006584242089740820e+13,1.497008443478510920e+01
2.500000000000000000e-01,7.498942093324558477e-07,3.398208328942559575e+01,1.923535151979756250e+13,1.529388546348739553e+01
2.500000000000000000e-01,5.623413251903490361e-07,3.651741272548377282e+01,3.675785221135934375e+13,1.561768649218968363e+01
2.500000000000000000e-01,4.216965034285822513e-07,3.924189758484536128e+01,7.024252703682091406e+13,1.594148752089197174e+01
2.500000000000000000e-01,3.162277660168379191e-07,4.216965034285822611e+01,1.342301660104545156e+14,1.626528854959425985e+01
