R,zeta,Gamma_enclosed,dGamma_dR,material_viscous_dGamma_dt
2.760000000000000231e-01,8.156820712595118650e-01,2.062214324041603819e-01,1.414522523109051244e+00,-3.346356140383698746e-02
2.800000000000000266e-01,8.130946452806010472e-01,2.119114791664916397e-01,1.430470812000571801e+00,-3.433129948801372927e-02
2.840000000000000302e-01,8.104783755915242471e-01,2.176649565590663138e-01,1.446237573250178210e+00,-3.520555464026148967e-02
2.880000000000000338e-01,8.078335938133082150e-01,2.234811353091898378e-01,1.461821232180631869e+00,-3.608610127440188553e-02
2.920000000000000373e-01,8.051606343961756895e-01,2.293592799224401235e-01,1.477220252643574261e+00,-3.697271260902203899e-02
2.960000000000000409e-01,8.024598345492593987e-01,2.352986488372359741e-01,1.492433137244334018e+00,-3.786516073922768094e-02
2.999999999999999889e-01,7.997315341699160474e-01,2.412984945802824910e-01,1.507458427555381730e+00,-3.876321670856695129e-02
3.039999999999999925e-01,7.969760757726630507e-01,2.473580639228483702e-01,1.522294704318406078e+00,-3.966665058109675179e-02
3.079999999999999960e-01,7.941938044177582201e-01,2.534765980378269057e-01,1.536940587634980648e+00,-4.057523151356348667e-02
3.119999999999999996e-01,7.913850676394423855e-01,2.596533326575383160e-01,1.551394737145801894e+00,-4.148872782767058093e-02
3.160000000000000031e-01,7.885502153738672693e-01,2.658874982322255165e-01,1.565655852198480469e+00,-4.240690708240455603e-02
3.200000000000000067e-01,7.856895998867278186e-01,2.721783200891984000e-01,1.579722672003870843e+00,-4.332953614639188655e-02
3.240000000000000102e-01,7.828035757006208684e-01,2.785250185925802202e-01,1.593593975780929872e+00,-4.425638127025897234e-02
3.280000000000000138e-01,7.798924995221510059e-01,2.849268093036103067e-01,1.607268582890102548e+00,-4.518720815896744986e-02
3.320000000000000173e-01,7.769567301688040661e-01,2.913829031414583715e-01,1.620745352955226704e+00,-4.612178204409731613e-02
3.360000000000000209e-01,7.739966284956092402e-01,2.978925065445020004e-01,1.634023185973970005e+00,-4.705986775605033867e-02
3.400000000000000244e-01,7.710125573216104478e-01,3.044548216320241973e-01,1.647101022416794791e+00,-4.800122979614658558e-02
3.440000000000000280e-01,7.680048813561696219e-01,3.110690463662831307e-01,1.659977843314474510e+00,-4.894563240858679914e-02
3.480000000000000315e-01,7.649739671251188922e-01,3.177343747149095066e-01,1.672652670334168867e+00,-4.989283965225350254e-02
3.520000000000000351e-01,7.619201828967863133e-01,3.244499968135852175e-01,1.685124565844076105e+00,-5.084261547232412498e-02
3.560000000000000386e-01,7.588438986079143467e-01,3.312150991289576352e-01,1.697392632966699955e+00,-5.179472377166959018e-02
3.600000000000000422e-01,7.557454857894913003e-01,3.380288646217445292e-01,1.709456015620739011e+00,-5.274892848201138962e-02
3.639999999999999902e-01,7.526253174925168210e-01,3.448904729099833699e-01,1.721313898551648292e+00,-5.370499363481143207e-02
3.679999999999999938e-01,7.494837682137227564e-01,3.517991004323817728e-01,1.732965507350899603e+00,-5.466268343186837103e-02
3.719999999999999973e-01,7.463212138212685920e-01,3.587539206117195678e-01,1.744410108463981146e+00,-5.562176231559437523e-02
3.760000000000000009e-01,7.431380314804325593e-01,3.657541040182636927e-01,1.755647009187184748e+00,-5.658199503894698057e-02
3.800000000000000044e-01,7.399345995793191744e-01,3.727988185331455040e-01,1.766675557653223594e+00,-5.754314673499072441e-02
3.840000000000000080e-01,7.367112976546029701e-01,3.798872295116594300e-01,1.777495142805737505e+00,-5.850498298606313097e-02
3.880000000000000115e-01,7.334685063173280728e-01,3.870184999464370001e-01,1.788105194362733519e+00,-5.946726989252063694e-02
3.920000000000000151e-01,7.302066071787850499e-01,3.941917906304532315e-01,1.798505182769029709e+00,-6.042977414103940098e-02
3.960000000000000187e-01,7.269259827764841253e-01,4.014062603198202406e-01,1.808694619137761528e+00,-6.139226307244743941e-02
4.000000000000000222e-01,7.236270165002435251e-01,4.086610658963256149e-01,1.818673055181011966e+00,-6.235450474906328172e-02
4.040000000000000258e-01,7.203100925184161563e-01,4.159553625296708579e-01,1.828440083129651894e+00,-6.331626802151822664e-02
4.080000000000000293e-01,7.169755957042692751e-01,4.232883038393693287e-01,1.837995335642441441e+00,-6.427732259503853018e-02
4.120000000000000329e-01,7.136239115625410134e-01,4.306590420562570465e-01,1.847338485704494326e+00,-6.523743909516444006e-02
