t,sigma,b,core_radius_sqrt_b,peak_vorticity,numerical_Gamma,relative_Gamma_error
5.050000000001808154e+00,2.049373418743528852e+00,4.490793428255792502e-02,2.119149222743833272e-01,2.126416353384268731e+01,2.999998997949700374e+00,-3.340167665418410378e-07
5.100000000001913669e+00,1.976773571382246519e+00,4.441180807825907684e-02,2.107410925241185173e-01,2.150170641259793669e+01,2.999998986755750607e+00,-3.377480831308806173e-07
5.150000000002019185e+00,1.891265837645405679e+00,4.413020616218725489e-02,2.100719071227451218e-01,2.163891224622464193e+01,2.999998980290075945e+00,-3.399033080183263009e-07
5.200000000002124700e+00,1.794982269625639004e+00,4.406617337745626084e-02,2.099194449722470712e-01,2.167035586166651129e+01,2.999998978808329664e+00,-3.403972234454026294e-07
5.250000000002230216e+00,1.690405207782339936e+00,4.422013945939356344e-02,2.102858517813158967e-01,2.159490382042472234e+01,2.999998982363925482e+00,-3.392120248394784867e-07
5.300000000002335732e+00,1.580274516162144316e+00,4.459013233153251432e-02,2.111637571448578832e-01,2.141571707954050297e+01,2.999998990807904775e+00,-3.363973650749585431e-07
5.350000000002441247e+00,1.467484681392460022e+00,4.517184860690923176e-02,2.125366994354368766e-01,2.113992869455671197e+01,2.999999003804131537e+00,-3.320652894878151073e-07
5.400000000002546763e+00,1.354975999253587027e+00,4.595857849422054636e-02,2.143795197639470074e-01,2.077805036270775574e+01,2.999999020857252674e+00,-3.263809157753409509e-07
5.450000000002652278e+00,1.245624316171165091e+00,4.694100333833953892e-02,2.166587255070507034e-01,2.034318805817735054e+01,2.999999041349663997e+00,-3.195501120008732996e-07
5.500000000002757794e+00,1.142133850070209178e+00,4.810690358345029449e-02,2.193328602454504284e-01,1.985015844752657088e+01,2.999999064583146247e+00,-3.118056179178078638e-07
5.550000000002863310e+00,1.046937483327928797e+00,4.944083270246987794e-02,2.223529462419373548e-01,1.931459496845544521e+01,2.999999089820989617e+00,-3.033930034609018675e-07
5.600000000002968825e+00,9.621086055905976320e-01,5.092382764532539519e-02,2.256630843654437724e-01,1.875211865852410753e+01,2.999999116327070947e+00,-2.945576430176307112e-07
5.650000000003074341e+00,8.892880991847722516e-01,5.253323680503156623e-02,2.292013019269994734e-01,1.817762842399062251e+01,2.999999143399294521e+00,-2.855335684929609088e-07
5.700000000003179856e+00,8.296294250776427015e-01,5.424274976105086105e-02,2.329007294128785377e-01,1.760474280448558204e+01,2.999999170395903025e+00,-2.765346989915447593e-07
5.750000000003285372e+00,7.837640094125315482e-01,5.602270616298631739e-02,2.366911619874859651e-01,1.704540397911526028e+01,2.999999196754131958e+00,-2.677486226806043432e-07
5.800000000003390888e+00,7.517882813038787582e-01,5.784074158745807631e-02,2.405010220091758355e-01,1.650963719245319439e+01,2.999999222001555221e+00,-2.593328149262201224e-07
5.850000000003496403e+00,7.332728073840204530e-01,5.966279514339856843e-02,2.442596879212748096e-01,1.600544621243798815e+01,2.999999245761002964e+00,-2.514129990120276817e-07
5.900000000003601919e+00,7.272930454487103180e-01,6.145445875588748108e-02,2.479000983377930845e-01,1.553881814083811364e+01,2.999999267750339094e+00,-2.440832203021159330e-07
5.950000000003707434e+00,7.324803370928121282e-01,6.318259641211530775e-02,2.513614855384875835e-01,1.511380843425205711e+01,2.999999287778456036e+00,-2.374071813212215994e-07
6.000000000003812950e+00,7.470909152342027904e-01,6.481711121402142228e-02,2.545920486072206779e-01,1.473267846507789081e+01,2.999999305738787037e+00,-2.314204043211513244e-07
6.050000000003918466e+00,7.690899522114155173e-01,6.633269860299559340e-02,2.575513513903501250e-01,1.439606225380143556e+01,2.999999321601456881e+00,-2.261328477063765667e-07
6.100000000004023981e+00,7.962470490961106595e-01,6.771040489190956191e-02,2.602122304810239872e-01,1.410314500519952752e+01,2.999999335404860634e+00,-2.215317131219289031e-07
6.150000000004129497e+00,8.262390931256877735e-01,6.893881749079920629e-02,2.625620259877639029e-01,1.385184273981520064e+01,2.999999347247204629e+00,-2.175842651238232002e-07
6.200000000004235012e+00,8.567561075345282440e-01,7.001474797265311301e-02,2.646030006871674112e-01,1.363897873237158187e+01,2.999999357278186451e+00,-2.142406045161730226e-07
6.250000000004340528e+00,8.856055991749340883e-01,7.094332634748565236e-02,2.663518844451558398e-01,1.346045791360354471e+01,2.999999365690784181e+00,-2.114364052729911236e-07
6.300000000004446044e+00,9.108109791032488189e-01,7.173749434285298099e-02,2.678385602239770624e-01,1.331144427748624359e+01,2.999999372712887968e+00,-2.090957040105460300e-07
6.350000000004551559e+00,9.306998867907481099e-01,7.241695412914192498e-02,2.691039838596632761e-01,1.318654823355917216e+01,2.999999378598476873e+00,-2.071338410421693361e-07
6.400000000004657075e+00,9.439786790510593661e-01,7.300668433537330082e-02,2.701974913565507452e-01,1.308003051014724960e+01,2.999999383618007887e+00,-2.054606640378153770e-07
6.450000000004762590e+00,9.497899320754464858e-01,7.353516855658948081e-02,2.711736870653004283e-01,1.298602664950036178e+01,2.999999388047836391e+00,-2.039840545364768332e-07
6.500000000004868106e+00,9.477505244822443942e-01,7.403248954465897758e-02,2.720891205922408296e-01,1.289879165788859794e+01,2.999999392158689382e+00,-2.026137702060282209e-07
6.550000000004973622e+00,9.379686908264167622e-01,7.452842732091996547e-02,2.729989511352011733e-01,1.281295866393957006e+01,2.999999396203475222e+00,-2.012655082594960732e-07
6.600000000005079137e+00,9.210393241151875188e-01,7.505066841633258046e-02,2.739537705824334757e-01,1.272379951706811951e+01,2.999999400405001904e+00,-1.998649993654547934e-07
6.650000000005184653e+00,8.980177252413503730e-01,7.562319545440104873e-02,2.749967189884290897e-01,1.262747035236260906e+01,2.999999404944407644e+00,-1.983518641187250460e-07
6.700000000005290168e+00,8.703729083147845325e-01,7.626489041371194155e-02,2.761609864077689269e-01,1.252122245729578687e+01,2.999999409951223495e+00,-1.966829255017898959e-07
6.750000000005395684e+00,8.399224354299504869e-01,7.698835835428352592e-02,2.774677609277941270e-01,1.240355917393374341e+01,2.999999415495975708e+00,-1.948346747641475367e-07
6.800000000005501199e+00,8.087515361861447039e-01,7.779896551725137832e-02,2.789246592132925140e-01,1.227432334353627219e+01,2.999999421586072135e+00,-1.928046426217614744e-07
