s,rho,L,reach,curv_radius,half_nonlocal_sep,eps_over_reach
2.775,0.5283748766961008,31.72500729519284,0.036992377919552615,0.14034858309185197,0.036992377919552615,0.27032595800537657
2.79,0.5675865566444043,31.894352806571316,0.04369184368020286,0.1359579941381336,0.04369184368020286,0.22887567009517348
2.805,0.4889042779666088,32.04485877736824,0.051809864091007345,0.1355929795107937,0.051809864091007345,0.19301343818301395
2.82,0.5433630925742025,32.20358735549949,0.04743060371418243,0.1323531061416069,0.04743060371418243,0.21083433937000168
2.835,0.5233435762035329,32.342468177266575,0.0443059009280727,0.13017311043200566,0.0443059009280727,0.2257035697397114
2.85,0.49636359655832274,32.44638707044038,0.05290934093554365,0.12927485892907217,0.05290934093554365,0.1890025432783677
2.865,0.5578944359760015,32.53745823510669,0.03810570531504451,0.12609218405006098,0.03810570531504451,0.26242789412565737
2.88,0.5427207011267441,32.61579892043229,0.022597162547111627,0.12417900996971529,0.022597162547111627,0.44253343662734335
2.895,0.6789080793560099,32.65660492548713,0.01732515762946995,0.12343468690355885,0.01732515762946995,0.5771953256569559
2.91,0.43455205716171114,32.82357661297608,0.011141541961028916,0.12024061927623225,0.011141541961028916,0.8975418335252139
2.925,0.5534558070518325,33.08680232095309,0.02724013904694018,0.1125590829690182,0.02724013904694018,0.36710532140706076
2.94,0.2754036196064352,33.03297980487535,0.022103706026223906,0.15170532719337315,0.022103706026223906,0.4524128210959723
2.955,0.2886416382167651,33.01044831771162,0.014875882271179912,0.15451650971896191,0.014875882271179912,0.6722290360803473
2.97,0.33917345052981984,33.048792991492526,0.06822403919427898,0.14882669135097237,0.06822403919427898,0.14657590078364288
2.985,0.6294265888086185,32.97450224592639,0.05097137927528422,0.17602452595411097,0.05097137927528422,0.19618853054755284
3.0,0.7079453849883297,32.82218113950227,0.038339192428345006,0.09478516576911043,0.038339192428345006,0.2608296984525626
3.015,0.8642613682132747,32.57762340043753,0.046331391096730984,0.062151946914018305,0.046331391096730984,0.2158363857265139
3.03,0.7770232574824336,32.716673375851606,0.04583249849174301,0.06031349952505659,0.04583249849174301,0.21818579237615768
3.045,1.16295209343894,32.81272666188704,0.0380639873604165,0.056407923817420325,0.0380639873604165,0.26271551388752296
3.06,1.0348237634374553,32.95645226482251,0.03766043358507946,0.05689085849928477,0.03766043358507946,0.26553066568946415
3.075,0.6523279243504474,33.20127105135246,0.042084524023669245,0.1121078521905158,0.042084524023669245,0.2376170393272307
3.09,0.891231743282043,33.04399769665698,0.024496947348533447,0.1251189343802599,0.024496947348533447,0.40821412797781387
3.105,0.4127769704780995,32.55458910434421,0.0402100072233396,0.0402100072233396,0.043565944060817596,0.24869430996260986
3.12,0.9322132332943288,32.242905057786885,0.040165601478230055,0.055783178219920015,0.040165601478230055,0.24896925807074113
3.135,0.7800411094814556,32.10683832253993,0.03583377341141321,0.10324324537574084,0.03583377341141321,0.27906634015872184
3.15,1.4613035201975824,32.24996616257565,0.013552427914538685,0.12916168555460464,0.013552427914538685,0.7378751662107913
3.165,0.6692079903623014,32.367901620245625,0.049388765165242904,0.12588585528708063,0.049388765165242904,0.2024751978824012
3.18,0.4858469565043272,32.574126911962026,0.05217347954548434,0.12915497564092707,0.05217347954548434,0.19166825918294553
3.195,0.4366661256242576,32.86859492195462,0.048101168563081595,0.12576856370704512,0.048101168563081595,0.20789515720154786
3.21,0.6290528085531208,33.11990990405323,0.04262439558195386,0.13499178526868744,0.04262439558195386,0.23460743228072325
3.225,0.6408974694693903,33.41804679817639,0.04112783813336436,0.13617475489354572,0.04112783813336436,0.24314431426162528
3.24,0.7070143419497321,33.69688219436992,0.01180623564215198,0.1417772086685031,0.01180623564215198,0.8470100295387
3.255,1.1312197596532563,33.96674988871166,0.02972260321908037,0.13783017355909313,0.02972260321908037,0.3364442853908745
3.27,1.1844415012271612,34.20090091124451,0.045530510823357295,0.1429976470149861,0.045530510823357295,0.21963294105784487
3.285,1.2507399132109571,34.42223231666917,0.03721203096293219,0.14660193573208335,0.03721203096293219,0.26873029343550864
3.3,1.3476194232806666,34.67090934564953,0.03818166075356701,0.16560735790996287,0.03818166075356701,0.26190584177420256
3.315,0.8734821927404787,34.83900568813141,0.026456883455794458,0.2141960854685737,0.026456883455794458,0.3779734682926098
3.33,1.2342938888153552,34.45616037630041,0.03120034988736472,0.07311874520464545,0.03120034988736472,0.3205092262138292
