s,rho,L,cyc0,cyc1,cyc2,cyc3,cov1,cov2,cov3,krms,kmax,dq10,dq25,dq50,dq75,dq90
1.750000000000000000e+00,4.900833299072039628e-02,1.324401753066216259e+01,3.771297448385078216e-02,3.257695096799981954e-02,3.196788817684165923e-02,1.073803612436152050e-01,6.141701242367387792e-01,3.333484948481449939e-01,5.248138091511608122e-02,2.729039973511926842e+00,1.043241242109698952e+01,4.968410962087095872e-01,8.401859632589443461e-01,1.252981441764022819e+00,1.730655787511997890e+00,2.108873348985091933e+00
1.800000000000000044e+00,5.239564861424472753e-02,1.337017654542890455e+01,3.990908689414384564e-02,3.509379080965439185e-02,3.162869936842140767e-02,1.135990973688230377e-01,6.197682648097346814e-01,3.269232878275834531e-01,5.330844736268188638e-02,2.747612724947727791e+00,1.097125042425780173e+01,4.970600715530397173e-01,8.401675480338461899e-01,1.257267314210272602e+00,1.730519227803261506e+00,2.113443723263068286e+00
1.850000000000000089e+00,5.560526880929318738e-02,1.351608383224833432e+01,4.242515187053242515e-02,3.848935861820289295e-02,3.108297504491495250e-02,1.192435373375723279e-01,6.253828330820013770e-01,3.204166842384061353e-01,5.420048267959291788e-02,2.768020973387369299e+00,1.201007603224032572e+01,4.939618483930502957e-01,8.351019381786481954e-01,1.251417974801542154e+00,1.729586423379067872e+00,2.120841751418919063e+00
1.900000000000000133e+00,5.802102364150855951e-02,1.368006318681055511e+01,4.485021339671502877e-02,4.272742863442676592e-02,3.034967810727706022e-02,1.256314207482972511e-01,6.309971868163979369e-01,3.139042918964803364e-01,5.509852128712219854e-02,2.782694033170098447e+00,1.246834592442298728e+01,4.951832521203957671e-01,8.397764341957911771e-01,1.245052547586739777e+00,1.727803992428120550e+00,2.117306475180142922e+00
1.949999999999999956e+00,6.035090412825068473e-02,1.384848212431637648e+01,4.784088837223030716e-02,4.798858146177015227e-02,2.955207676342868489e-02,1.317239876044164482e-01,6.365663527601638227e-01,3.074735756209799886e-01,5.596007161885591802e-02,2.787797571057818669e+00,1.172690150745684257e+01,4.878587321075783523e-01,8.316719591721961624e-01,1.249352603843632004e+00,1.720037584368401706e+00,2.114950223159373088e+00
2.000000000000000000e+00,6.397524769223190966e-02,1.401191287189619850e+01,5.115512606215161934e-02,5.434458137128607425e-02,2.872008494395704783e-02,1.349692201382590440e-01,6.420943261648525135e-01,3.011162593268262855e-01,5.678941450832152710e-02,2.788249472244638039e+00,1.083297068297453514e+01,4.892922132500814314e-01,8.303954756493544531e-01,1.246085230239432295e+00,1.709974097605081234e+00,2.123595412354095213e+00
2.049999999999999822e+00,6.792342711448280668e-02,1.416665484222123084e+01,5.389122289993435871e-02,6.178734519313821422e-02,2.786024307267674985e-02,1.323650664407833022e-01,6.475960943224868815e-01,2.947606858344123948e-01,5.764321984310102898e-02,2.792123338756811624e+00,1.015001717409939630e+01,4.971882912361907381e-01,8.261334355814611285e-01,1.251013684761139055e+00,1.711097466280524504e+00,2.121649897820432784e+00
2.100000000000000089e+00,7.122922965930314487e-02,1.431233534919978823e+01,5.720659505414301543e-02,7.023088577818813183e-02,2.699740072530613585e-02,1.234089819178857961e-01,6.530248838322620930e-01,2.883891813077337773e-01,5.858593486000420597e-02,2.804226994573092657e+00,9.984040576233786268e+00,4.916057216684151521e-01,8.281147823980150591e-01,1.250430355444696939e+00,1.706698134283024526e+00,2.129411087667865576e+00
2.149999999999999911e+00,7.438518683725200975e-02,1.446647781078110562e+01,6.216887865768620097e-02,7.891373775042631600e-02,2.606973565626089645e-02,1.131743505919181603e-01,6.583335986126086503e-01,2.820214013112680718e-01,5.964500007612337507e-02,2.819397415914102645e+00,1.159095444507382311e+01,4.841519348804246836e-01,8.235705561402225650e-01,1.247624857620747152e+00,1.703832989980833768e+00,2.135700360006268284e+00
2.200000000000000178e+00,7.710087348916028205e-02,1.464263597132750050e+01,6.684532722508021441e-02,8.728659536878533021e-02,2.504212943925719984e-02,1.028024089884827519e-01,6.634774633312835457e-01,2.757264644410160059e-01,6.079607222770015001e-02,2.829426920959132286e+00,1.229384782699924195e+01,4.778357308412487514e-01,8.218567492461843482e-01,1.242333625412904041e+00,1.696163401703961737e+00,2.137595062921842537e+00
2.250000000000000000e+00,7.779769518037402132e-02,1.483480068998234636e+01,6.988851922415371953e-02,9.574977311369183008e-02,2.394193119042830817e-02,9.030692402164254562e-02,6.683865721566292217e-01,2.696154879559237716e-01,6.199793988744684708e-02,2.831498998464446082e+00,1.167629464097299241e+01,4.816501247395132967e-01,8.131835750238867178e-01,1.241613902533459157e+00,1.692370290701739943e+00,2.135897974019184353e+00
2.300000000000000266e+00,7.894218338437476723e-02,1.502492210879397305e+01,7.492655425812926040e-02,1.052045653932004998e-01,2.279711450004529016e-02,7.767839962677816623e-02,6.730984534368436023e-01,2.637523481575536621e-01,6.314919840560263842e-02,2.831708659820913354e+00,1.043562276588204618e+01,4.808778806517282622e-01,8.106968590604053393e-01,1.237453742839309978e+00,1.693667196902200134e+00,2.144848745520296696e+00
