Re_parent,m,ell_grad_over_delta,tau_diff_ell_over_tau_nl,Re_sub_if_parent_amplitude,Re_target_next,required_vorticity_amplitude_boost,log_boost
1.778279410038922776e+02,4.000000000000000000e+00,5.623413251903490971e-03,5.623413251903490971e-03,5.623413251903490971e-03,7.113117640155691106e+02,1.264911064067351690e+05,1.174792727959309602e+01
1.995262314968880730e+02,1.000000000000000000e+00,5.011872336272720288e-03,5.011872336272720288e-03,5.011872336272720288e-03,1.995262314968880730e+02,3.981071705534977082e+04,1.059189142777261061e+01
1.995262314968880730e+02,2.000000000000000000e+00,5.011872336272720288e-03,5.011872336272720288e-03,5.011872336272720288e-03,3.990524629937761460e+02,7.962143411069954163e+04,1.128503860833255601e+01
1.995262314968880730e+02,4.000000000000000000e+00,5.011872336272720288e-03,5.011872336272720288e-03,5.011872336272720288e-03,7.981049259875522921e+02,1.592428682213990833e+05,1.197818578889250141e+01
2.238721138568340052e+02,1.000000000000000000e+00,4.466835921509630485e-03,4.466835921509630485e-03,4.466835921509630485e-03,2.238721138568340052e+02,5.011872336272724351e+04,1.082214993707201423e+01
2.238721138568340052e+02,2.000000000000000000e+00,4.466835921509630485e-03,4.466835921509630485e-03,4.466835921509630485e-03,4.477442277136680104e+02,1.002374467254544870e+05,1.151529711763195962e+01
2.238721138568340052e+02,4.000000000000000000e+00,4.466835921509630485e-03,4.466835921509630485e-03,4.466835921509630485e-03,8.954884554273360209e+02,2.004748934509089740e+05,1.220844429819190502e+01
2.511886431509582280e+02,1.000000000000000000e+00,3.981071705534969078e-03,3.981071705534969078e-03,3.981071705534969078e-03,2.511886431509582280e+02,6.309573444801943697e+04,1.105240844637142139e+01
2.511886431509582280e+02,2.000000000000000000e+00,3.981071705534969078e-03,3.981071705534969078e-03,3.981071705534969078e-03,5.023772863019164561e+02,1.261914688960388739e+05,1.174555562693136679e+01
2.511886431509582280e+02,4.000000000000000000e+00,3.981071705534969078e-03,3.981071705534969078e-03,3.981071705534969078e-03,1.004754572603832912e+03,2.523829377920777479e+05,1.243870280749131219e+01
2.818382931264454783e+02,1.000000000000000000e+00,3.548133892335753221e-03,3.548133892335753221e-03,3.548133892335753221e-03,2.818382931264454783e+02,7.943282347242820833e+04,1.128266695567082500e+01
2.818382931264454783e+02,2.000000000000000000e+00,3.548133892335753221e-03,3.548133892335753221e-03,3.548133892335753221e-03,5.636765862528909565e+02,1.588656469448564167e+05,1.197581413623077040e+01
2.818382931264454783e+02,4.000000000000000000e+00,3.548133892335753221e-03,3.548133892335753221e-03,3.548133892335753221e-03,1.127353172505781913e+03,3.177312938897128333e+05,1.266896131679071580e+01
3.162277660168379043e+02,1.000000000000000000e+00,3.162277660168379828e-03,3.162277660168379828e-03,3.162277660168379828e-03,3.162277660168379043e+02,9.999999999999997090e+04,1.151292546497022862e+01
3.162277660168379043e+02,2.000000000000000000e+00,3.162277660168379828e-03,3.162277660168379828e-03,3.162277660168379828e-03,6.324555320336758086e+02,1.999999999999999418e+05,1.220607264553017401e+01
3.162277660168379043e+02,4.000000000000000000e+00,3.162277660168379828e-03,3.162277660168379828e-03,3.162277660168379828e-03,1.264911064067351617e+03,3.999999999999998836e+05,1.289921982609011941e+01
3.548133892335756627e+02,1.000000000000000000e+00,2.818382931264452190e-03,2.818382931264452190e-03,2.818382931264452190e-03,3.548133892335756627e+02,1.258925411794168613e+05,1.174318397426963401e+01
3.548133892335756627e+02,2.000000000000000000e+00,2.818382931264452190e-03,2.818382931264452190e-03,2.818382931264452190e-03,7.096267784671513255e+02,2.517850823588337225e+05,1.243633115482957940e+01
3.548133892335756627e+02,4.000000000000000000e+00,2.818382931264452190e-03,2.818382931264452190e-03,2.818382931264452190e-03,1.419253556934302651e+03,5.035701647176674451e+05,1.312947833538952480e+01
3.981071705534973262e+02,1.000000000000000000e+00,2.511886431509579437e-03,2.511886431509579437e-03,2.511886431509579437e-03,3.981071705534973262e+02,1.584893192461114086e+05,1.197344248356903762e+01
3.981071705534973262e+02,2.000000000000000000e+00,2.511886431509579437e-03,2.511886431509579437e-03,2.511886431509579437e-03,7.962143411069946524e+02,3.169786384922228171e+05,1.266658966412898302e+01
